data,"label	"
RT jokowi Sampai ditemukannya vaksin yang efektif kita harus hidup berdamai dengan Covid-19 untuk beberapa waktu ke depan Sejak awal pemerintah memilih kebijakan Pembatasan Sosial Berskala Besar bukan lockdown Dengan PSBB masyarakat masih bisa ber,1
Tapi penonton baru boleh hadir jika sudah ada vaksin untuk COVID-19,0
Sampai ditemukannya vaksin yang efektif kita harus hidup berdamai dengan Covid-19 untuk beberapa waktu ke depan,0
Pemerintah berupaya sangat keras untuk menghentikan Covid-19 dan menemukan vaksinnya Kita sebagai warga negara yang baik harus mendukung pemerintah dengan melakukan Social Distancing Physcal Distancing serta PSBB dan BerdamaiDgnCorona sampai vaksin ditemukan ,1
Sebelumnya saya katakan lebih baik dana yang dimiliki oleh pemerintah sebagian besar digunakan untuk kepentingan penelitian obat atau vaksin untuk covid 19 Kita harus usahakan semua itu kita miliki sendiri kita bikin sendiri jangan sampai sepenuhnya berharap pada negara lain,1
Semua kebijakan pemerintah baik yg melalui Kemenhub maupun gugus tugas penanggulangan covid-19 itu adalah strategi utk menghambat penyebaran karena utk virus covid-19 itu sendiri msh msh gelap msh belum ditemukan vaksin maupun treatmentnya,0
Sdh resmi pemerintah memilih opsi untuk menerapkan HERD IMMUNITY dalam penanganan COVID19 di Indonesia Kita Harus Hidup Berdamai dengan Covid-19 sampai Vaksin Ditemukan,0
pemerintah telah menyiapkan obat untuk pasien COVID-19 yakni Avigan dan Klorokuin ,0
Lama2 org udah ga peduli kena covid apa ga pemerintah bikin aturan ga tegas dan ga jelas,2
Pulih dari Pandemi Covid-19 Pemerintah Butuh Waktu Sangat Lama Gugus Tugas Covid19 Indonesia menyebut masa PSBB akan berakhir seiring dengan ditemukan vaksincovid19 Hingga saat ini sulit untuk menentukan kapan,0
solusinya covid cepat ditemukan vaksin nya aktifitas normal kembali pemerintah gerak cepat dan tepat bangkitin kondisi ekonomi indonesia lagi,1
pemerintah Inggris berencana utk menanamkam microchip kepada seluruh penduduk dengan dalih vaksinasi COVID-19,0
vaksin untuk indonesia,0
Tak Kenal maka Tak Kebal Vaksinjadi bukti manusia berjuangjaga eksistensinya di dunia ini Vaksin juga,1
Sistem satu data mendukung Vaksinasi di Indonesia Vaksin Covid19 CoronaVirus Kesehatan,1
Siap menerima vaksin covid 19 vaksinhalal vaksinsiap34propinsi vaksicovid19 jokowidodo,1
Apa Perbedaan Vaksin China Sinovac dan Sinopharm serta Merek Lain Vaksin Perusahaanfarmasi Virus Farmasi,0
Dua Lagi Obat yang Dapat Selamatkan Nyawa Pasien COVID-19 Ditemukan Infus Virus Wabah Radang Vaksin,0
Vaksin buatan Tiongkok kembali dipertanyakan orang tua tidak boleh suntik,2
Mengenal Vaksin Covid-19 vaksin vaksincorona,0
Jelang Imlek China Target 50 Juta Warga Sudah Divaksin China Imlek Vaksin,0
Vaksinasi Covid-19 segera dimulai tetap jaga protokol kesehatan Covid19 VirusCorona SocialDistancing,0
Yuk wargi kita lihat daftar penyakit apa saja yang boleh terima vaksin covd-19 sinovac,0
Mari siapkan diri untuk vaksinasi saat vaksin siap Tetap laksanakan protokol kesehatan 3M,1
Vaksinya halal yaa Vaksin Pandemi Indonesia Virus IndonesiaKuat,1
Menjadi orang pertama yang di suntik Vaksin Pandemi Indonesia Virus IndonesiaKuat,0
Lebih baik mencegah toh Vaksin Pandemi Indonesia Virus IndonesiaKuat,1
Sudah mendapat status halal yaa Vaksin Pandemi Indonesia Virus IndonesiaKuat,1
Simak yang boleh dan tidak Vaksin Pandemi Indonesia Virus IndonesiaKuat,0
Tenaga Kesehatan Tolak Vaksin Covid-19 Viral Vaksin Vaksinasi AntibodiD idi TenagaKesehatan,2
Jadi SobatBP sudah terima SMS dari Kemenkes sebagai salah satu penerima vaksin vaksin vaksinhalal vaksinasi,0
Hallo Teman Muda Vaksin Covid 19 menuai beberapa tanggapan pro dan kontra di masyarakat Indonesia,0
Berharap Tak Muncul Lagi Gelombang Pandemi Tiongkok Gratiskan Vaksin Covid-19 untuk Warganya Pandemi Tiongkok,0
Hari Ini BPOM Putuskan Izin Darurat Vaksin Corona Sinovac Vaksin Vaksinasi BadanPOM Virus Plasebo,0
Bagi kita mendengar kata-kata Vaksin tentu sesuatu hal yang biasa saja tetapi bagi yang memiliki pengalaman,2
Mentri Koordinator Menko Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan memastikan program vaksinasi ,0
Siap demam vaksin vaksincovid19 sinovac covid19 ,2
Catat Orang Dengan Kondisi Kesehatan Ini Tidak Bisa Dapat Vaksin Covid-19 Vaksin Vaksinasi,2
"SobatHalalMUI meski vaksin produksi Sinovac halal telah difatwakan halal dan suci namun penggunaannya masih menunggu hasil lab
",0
MUI Pusat telah menetapkan bahwa vaksin COVID-19 produksi Sinovac halal dan suci merahputihcom MUI vaksin,1
percaya vaksin akhiri pandemi Vaksin Covid IndonesiaMaju Jokowi Jokowidodo,1
Ayo Dukung Hidup sehat tanpa Covid-19 dengan melakukan vaksinasi covid-19 vaksinasi,1
Majelis Ulama endonesia psstikan vaksin Covid-19 dari sinovac halal dan suci vaksinasi,1
yuks support hidupku sehat tanpa Covid-19 dengan melakukan vaksinasi covid-19 vaksinasi,1
yuks dukung program vaksinasi covid-19 spy warga Sumut bebas dari covid-19 vaksinasi,1
ustazah Republik Indonesia yakinkan vaksin covid-19 dari sinovac resmi dan sakral vaksinasi,1
Majelis Ulama Indonesia pastikan vaksin Covid-19 dari sinovac halal dan sucinya vaksinasi,1
ayok support hidupku tanpa Covid-19 dengan melakukan vaksinasi covid-19 vaksinasi,1
yok dukung program vaksinasi covid-19 supaya warga Sumut bebas dri covid-19 vaksinasi,1
marilah gendong tata olah vaksinasi covid-19 biar kelompok Sumut sukarela dari covid-19 vaksinasi,1
marilah bawa berjiwa bugar minus covid-19 dengan mengadakan vaksinasi covid-19 vaksinasi,1
ayok dukung hidupku sehat tanpa Covid-19 dengan melakukan vaksinasi covid-19 vaksinasi,1
cantik rohaniwan RI yakinkan vaksin covid-19 dari sinovac resmi dan nirmala vaksinasi,1
ayoo dukung program vaksinasi covid-19 supaya wargi Sumut bebas dari covid-19 vaksinasi,1
yuk bawa tata olah vaksinasi covid-19 biar bani Provinsi Sumatera Utara independen dari covid-19 vaksinasi,1
Kenali fakta-fakta penting tentang vaksin COVID-19 merahputihcom covid19 vaksin,0
Bila Ada Efek Samping Vaksin Pemerintah Tanggung Biaya Perawatan,2
Hi sohIB Menurut petunjuk resmi pelaksanaan vaksinasi Covid-19 individu yg telah divaksin disarankan tidak langsung pulang ,0
Besok Juta Bahan Baku Vaksin Covid Bakal Tiba Di Tanah Air BudiGSadikin VaksinCovid19,0
Muhammadiyah sendiri memiliki tiga sikap terkait program vaksinasi pemerintah ,0
Muhammadiyah menurutnya akan mendukung agar vaksinasi berjalan dengan sebaik-baiknya,1
Muhammadiyah meminta kepada semua pihak untuk menjadikan program vaksinasi sebagai gerakan sosial,1
Izin penggunaan darurat vaksin Sinovac diumumkan Kepala BPOM dalam konferensi pers secara virtual,0
Komisi Fatwa MUIPusat menetapkan Vaksin COVID19 Halal Suci,1
Yuk cek faktanya seputar vaksin virus corona di IG Live Eka Hospital bersama sinar masid ,0
BPOM Beri Izin Vaksin Sinovac dgn Efikasi 65 vaksin COVID19,1
info Pekan ini tenaga kesehatan di Jabar mulai suntik vaksin Covid ,0
BPOM Resmi Keluarkan EUA Untuk Vaksin Sinovac idnglobe vaksin izindarurat bpom,0
Perkembangan vaksin di Indonesia diiringi dengan kenaikan kasus COVID19 yang memaksa kita pada PSBB,0
Siapa saja yg tidak boleh di Vaksin COVID19,2
MUI NYATAKAN VAKSIN COVID19 SINOVAC HALAL vaksin sinovachalal ,0
VAKSIN COVID19 SINOVAC SUCI DAN HALAL,1
Lusa Vaksinasi akan Dimulai vaksin sinovachalal vaks ncovid19 vaksingratisutkrakyat covid19indonesia Covid19,0
Dengerin ini vaksin yg mengandung Vero Cell Harto,0
Selain memberi dukungan para anggota legislatif aleg bersedia menjadi kelompok pertama yang menjalani vaksinasi,1
kenapa harus nakes kan kita ada wakil rakyat sebagai wakil nya rakyat seharusnya mereka yang pertama covid19,2
Jelang vaksinasi yang dimulai izin penggunaan darurat vaksin tersebut sudah dikeluarkan,0
Vaksin bukan tiket aman COVID ya gaes masih ada kemungkinan kita kena kayak orang yg udah vaksin cacar air,2
Vaksin Sinovac Tiba di Yogya Vaksinasi direncanakan pada Tanggal vaksin covid19 indonesiasehat,0
Beberapa negara sudah mulai menyuntikkan vaksin untuk menghentikan virus corona Indonesia masih dalam,0
Belakangan kita disibukkan memilih vaksin apa yang paling baik Atau siapa kelompok yang paling pantas diprioritask,2
Harus berjalan efektif pemerintah akan memulai program vaksinasi COVID-19 pada mendatang,0
BPOM akhirnya mengeluarkan izin edar vaksin Covid-19 Sinovac Vaksin Sinovac BPOM,0
Majelis Ulama Indonesia MUI mengeluarkan fatwa halal terhadap vaksin Covid-19 produksi Sinovac Tiongkok,0
gimana nih Vaksin sudah dapat izin dari BPOM Tentunya itu akan jadi sentimen positif untuk saham-saham farmasi,1
MUI Terbitkan Fatwa Covid-19 Sinovac Ini Redaksi Lengkapnya vaksin halal COVID19 muipusat fatwaMUI sinovac,0
Pendapat Guru Besar dst Tegaskan Vaksin Covid 19 aman digunakan vaksin COVID19,1
Kami siap di encusss ngantri vaksindatang coronailang alumnisma1pati vaks ncovid19,1
saya merasa jijik pd vaksin,2
Vaksin kan obat pencegah kan kayak imunisasi Bukan obat penyembuh,2
Menkes Lansia Bisa Terima Vaksin Covid-19 Dari GAVI Vaksin lansia kemenkes ,0
Dukung perlambat pandemi dengan siap divaksin Covid19 VirusCorona SocialDistancing PhysicalDistancing,1
Dipastikan aman Vaksin Pandemi Indonesia Virus IndonesiaKuat,1
Sudah sesuai dengan data yang ada Vaksin Pandemi Indonesia Virus IndonesiaKuat,0
BPOM sudah izinkan penggunaan Vaksin Vaksin Pandemi Indonesia Virus IndonesiaKuat,0
Sudah lolos Uji Klinis ya Vaksin Pandemi Indonesia Virus IndonesiaKuat,1
BPOM Vaksin Sinovac Covid-19 Aman MUI pun Resmi Keluarkan Fatwa Suci amp Halal Batam Covid19 Vaksin,0
Setelah EUA Resmi Dikeluarkan BPOM MUI Nyatakan Vaksin Covid-19 Buatan Tiongkok Sinovac Halal MUI Vaksin Halal,0
Kesediaan Presiden untuk menjadi yg pertama sebagai penerima vaksin ini tentunya dimaksudkan agar rakyat Indonesia mencontohnya,0
Warga Yang Tolak di Vaksin Bisa Dipenjara Vaksin tolakvaksin kesehatan,2
Kemanjuran Vaksin Sinovac di Indonesia 65 Beda Dengan Hasil di Turki dan Brazil Ini Sebabnya Vaksin Virus,2
BPOM Setuju Gunakan Vaksin COVID-19 Produksi Sinovac kemenkes satgascovid19 vaksin,0
Vaksinasi Covid di Lamsel Diperkirakan Akhir Januari Atau Awal Februari beritakitacoid,0
Berdasarkan Hasil Evaluasi Mutu BPOM Vaksin Covid-19 Produksi Sinovac AMAN,1
Hoax Vaksin IDN Dan Inggris Vox Hoax Vaksin Inggris IDN China Sinovac Vaksinasi Corona coronavirus,2
Kabupaten Probolinggo Siap Laksanakan Vaksinasi Covid-19 corona COVID vaksin,0
Kepala Badan POM mengatakan vaksin CoronaVac yang telah diuji klinis di Indonesia memenuhi persyaratan,0
Tidak usah lah tanyakan mau atau tidak disuntik vaksinChina Yang harus ditanyakan ad kenapa si China menciptakan vaksin,2
Walau sudah di vaksin tetap wajib 3M vaksinuntukkita,1
Tidak usah lah tanyakan mau atau tidak disuntik vaksinChina ,2
Ayooo kita sukseskan Vaksinasi COVID19,1
Mau divaksin vaksin VaksinSinovac sinovac,1
Vaksinasi Covid Dimulai Besok Kalau Mencret-mencret Jangan Kaget,2
IDI Stop Polemik Nakes Takut Divaksin Covid-19,2
Daftar Efikasi Vaksin Covid-19 Sinovac Ungguli AstraZeneca Dosis Normal Vaksin Epidemiologi TenagaKesehatan,0
Setelah Divaksin Dilarang Langsung Pulang Vaksin nakes kesehatan Covid 19,0
HALAL sudah BPOM sudah entaskan polemik saatnya vaksinasi untuk herd immunity VaksinHalal Vaksin,1
Alhamdulillah fatwa halal vaksin sinovac oleh MUI sudah final setelah otoritas BPOM BPOM RI menyatakan vaksin,1
Kabupaten Purbalingga menpatkan jatah vaksin Covid-19 untuk tahap pertama Namun jumlah tersebut masih ,0
Mari kita dukung program vaksinasi Covid-19 agar indonesia terbebas dari pandemi vaksin indonesiamaju jokowi,1
berita wajib vaksin yang membuat hasrat boker ku menghilang,2
Sanksi pidana bagi penolak vaksin ,2
Gubernur Banten Ungkap Alasan Serang dan Tangsel Dapat Jatah Vaksin Pertama Vaksin tangsel KabupatenTangerang,0
Kapolres Kampar Saya Siap Disuntik Vaksin,1
Program Vaksinasi Covid-19 Di Mulai Januari,0
Denda untuk Warga Bekasi Penolak Vaksinasi Covid-19,2
Efek 2 Kali Disuntik Vaksin Covid-19 Pegal dan Linu,2
Heran kenapa masih pakai Sinovac lebih mahal iya akurasi rendah iya uji yang belum selesai,2
TolakDivaksinSinovac sih Padahal baru datang 15jt Dosis,2
Pejabat Tokoh dan Tenaga Kesehatan Sumut akan Divaksin Januari Begini Teknisnya sumber,0
Masih bingung perihal vaksin Swipe left HumasSetdaPati PatiLawanCorona Vaksinasi VaksinCovid19,2
Sebanyak juta dosis vaksin baru saja tiba di Bandara Soekarno-Hatta Jakarta vaksinasi,0
Nih denger TolakDivaksinSinovac Vaksin COVID19,2
Kader Golkar Siap di Vaksin Rakyat Sehat Indonesia Maju airlangga Ketua Umum DPP Partai Golkar,0
Mengapa kok uji klinis di Indonesia kok cuma 65 dibanding Brazil dan di Turki bisa 90an Ada banyak faktor Sinovac Vaksin,2
Masyarakat Kepala Daerah Wajib Disuntik Vaksin Terlebih Dulu,0
Menkes Bahan Baku untuk Produksi Juta Vaksin COVID-19 Datang Hari Ini Vaksin VaksinCorona VaccineStrategy,0
China Manfaatkan Sertifikat Halal MUI untuk Memasarkan Vaksin Sinovac ke Negara-Negara Islam Vaksin mui,0
Mengapa Suntik Vaksin Corona Harus Dua Kali,2
Vaksin juga ada yang dalam bentuk curah loh VaksinSinovac vaksin VaksinLolosUjiKlinis,0
Presiden Jokowi Suntik Vaksin Covid-19 Besok Pagi Disiarkan Secara Live jokowi presiden vaksinasi covid19,0
Menkes Kelompok Lansia Akan Divaksin Periode Maret-April menkes lansia vaksin covid19,0
Abis baca-baca tentang thread Vaksin Sinovac dari efikasi dan efeknya kayaknya hasilnya sama aja divaksin sama ga divaksin,2
kalau sekarang divaksin mungkin lari karena takut efek samping,2
Pejabat Tokoh dan Tenaga Kesehatan Sumut akan Divaksin Januari Begini Teknisnya,0
Menag Minta Umat Tak Ragu Ikut Program vaksinisasi ,0
Yang Khawatir Divaksin Corona Lihat Saja Kondisi Gubernur Ridwan Kamil news jabar JawaBarat vaksin COVID19,2
Saya siapp Di vaksin vaksin,1
Kita Harus Bersyukur COVID19 Sinovac Vaksin VaksinCOVID19,1
Kamis Besok Disuntik Ganjar Jadi Orang Pertama Yang Terima Vaksin Covid Di Jawa Tengah Vaksin,0
Kamis Besok Kota Dan Kabupaten Semarang Serta Kota Surakarta Siap Jalankan Vaksinasi Perdana Covid-19,0
Semua warga Indonesia diwajibkan turut serta dalam program vaksinasi Sinovac Pemerintah akan memberikan sanksi,0
Fatwa MUI diharapkan untuk redam hoaks perihal vaksin COVID-19 merahputihcom fatwaMUI vaksin covid19,0
Menag Vaksin Sinovac Halal Tak Mengandung Bagian Tubuh Manusia maupun Babi Menag GusYaqut Vaksin,0
Vaksin Sinovac Aman berkhasiat,1
Sah BPOM beri izin Vaksin Covid-19 Sinovac vaksinasi,0
syah BPOM beri ijin Vaksin Covid-19 Sinovac vaksinasi,0
Sampurasun wargi Jabar Berikuti ini infografis tanya-jawab mengenai info-info seputar vaksin Yuk kita simak,0
Kalo sudah begini siapa yg peduli Yang bertanggung jawab Vaksin VaksinSinovac VaksinCorona vaksincovid19,2
Program vaksinasi Covid-19 adalah salah satu strategi utama untuk menyelesaikan masalah pandemi Covid19,1
Vaksin Covid-19 Aman dan Halal Menteri Agama Jangan Ragu Ikut Vaksinasi Covid Covid19,1
Besok Bapak Presiden Jokowi akan di vaksin apakah ini sentimen baik atau buruk Sudah beberapa hari saham farmasi naik,0
Vaksin Oke Siap Edar PakaiMaskermuSayang,1
Hai SohIB BPOM telah resmi mengeluarkan izin penggunaan darurat untuk VaksinSinovac,0
Guys sekarang ini lagi ramai soal Vaksin Nah tapi apakah teman-teman tau apa itu Vaksin dan istilah lainnya,0
Jokowi jadi orang pertama di Indonesia yang disuntik vaksin covid-19 besok Rabu Jokowi Vaksin,0
Alasan Ribka menolak karena PT Bio Farma katakan belum melakukan uji klinis tahap ketiga Vaksin Covid19 Berita,2
Dari semua target vaksinasi tidak semua bisa di vaksin karena tidak memenuhi syarat,2
Menteri Agama Yaqut Cholil Qoumas mengajak semua umat beragama untuk mengikuti program vaksinasi COVID-19,1
Dari semua target vaksinasi tidak semua bisa di vaksin karena tidak memenuhi syarat Simak beberapa persyaratan,0
PT Bio Farma menyatakan telah menuntaskan pendistribusian vaksin Covid-19 ke semua provinsi BioFarma Vaksin,0
Pemkot Serang Tunjuk 33 Faskes Tempat Vaksinasi,0
Jumlah Vaksin Terbatas jadi Alasan Tiga Daerah Ini Sebagai Penerima Vaksinasi Pertama ,0
Sudah Aman Insyaallah Vaksin Aman,1
Kesehatan Kemkes telah menerbitkan petunjuk teknis juknis pelaksanaan vaksinasi Covid-19,0
Bupati Tanggamus Dewi Handajani menyatakan kesiapannya untuk menerima vaksin Sinovac,0
Ayo bersama kita sukseskan vaksinasi agar pendemi covid 19 segera berlalu,1
Vaksinasi Melawan Pendemi Sinergi untuk Negeri,1
Yang jadi pertanyaan adalah mengapa pemerintah tidak memilih vaksin yang secara efikasi terjamin kualitasnya,2
Walaupun sudah ada vaksin protokol kesehatan jangan sampai kendor Jangan lupa selalu terapkan 3M ya Vaksin,1
Kalo ada yang lebih bagus kenapa dikasih yang jelek VAKSIN,2
Menteri Agama menyampaikan untuk tidak Ragu Ikuti Vaksinasi Covid-19 yg sudah dicanangkan pemerintah guna melawan,0
Menag Minta Umat Beragama Jangan Ragu Ikut vaksinasi COVID19,0
